flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/adenolinum_lewisii_1_378x400.jpg,WILD BLUE FLAX,blue flax,Adenolinum lewisii,stigma capitate (headed); plant produces many branches from the base; styles of same length on different plants.,5,8,"dry slopes, forest clearings, roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/amerosedum_lanceolatum_400x267.jpg,YELLOW STONECROP,lanceleaf stonecrop,Amerosedum lanceolatum,"leaves succulent (fleshy), in basal (at the plant base) clusters, often deciduous (falling off, not persistent throughout the year) before anthesis (opening of the flower).",6,8,"rocky ground at 5,000 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/antennaria_rosea_400x332.jpg,PINK PUSSYTOES,pussytoes,Antennaria rosea,mat-forming usually with leafy stolons (stem running along surface of the ground); leaves in a basal rosette are white-tomentose on both sides (densely covered with thick-wooly hairs with no distinct orientation); phyllaries (bracts - small leaf-like structures - surrounding a composite head) pink or white.,6,6,forested areas.
http://extension.colostate.edu/county/jeffco/natural/plant_images/astragalus_agrestis_400x327.jpg,FIELD MILKVETCH,purple milk vetch,Astragalus agrestis,"blunt keel; flowers erect, clustered in ovoid heads; pubescence basifixed (hairs attached at the base).",3,5,grasslands on the plains and mesas.
http://extension.colostate.edu/county/jeffco/natural/plant_images/castilleja_integra_1_main_400x380.jpg,FOOTHILLS PAINTBRUSH,orange indian paintbrush,Castilleja integra,"calyx incised equally above and below; bracts (small leaf-like structures) broad and more conspicuous than calyx (sepals); leaves and stems tomentose (covered with wooly, multidirectional hairs); bracts orange.",6,8,grasslands of the foothills from Rocky Flats south; South Park.
http://extension.colostate.edu/county/jeffco/natural/plant_images/cercocarpus_montanus_1_main_400x242.jpg,MOUNTAIN MAHOGANY,alderleaf mountain mahogany,Cercocarpus montanus,leaves densely pubescent (hairy) underneath.,6,6,"dry, rocky slopes at 4,500 to 9,000 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/chondrosum_gracile_363x400.jpg,BLUE GRAMA,blue grama grass,Chondrosum gracile,"spike forms at the end of the rachis (axis of the flower); long hairs at the collar (where the blade joins the sheath - the part that surrounds the stem - of a grass leaf).",6,8,"grasslands of the plains, foothills, and intermountain parks at 3,200 to 9,700 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/erysimum_asperum_326x400.jpg,WESTERN WALLFLOWER,"big wallflower, pretty wallflower",Erysimum asperum,siliques (mustard fruits) and pedicels (stalks) densely gray-pubescent (hairy); siliques spreading at a wide angle to the stem.,3,8,"open areas, slopes, meadows, valleys at 4,500 to 12,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/leucocrinum_montanum_1_main_400x289.jpg,SAND LILY,star lily,Leucocrinum montanum,leaves grasslike; tepals (undifferentiated petals and sepals) united into a tube.,2,3,grasslands
http://extension.colostate.edu/county/jeffco/natural/plant_images/lithospermum_incisum_400x262.jpg,NARROW-LEAF PUCCOON,"fringed gromwell, fringed puccoon, narrowleaf gromwell, narrowleaf stoneseed, puccoon",Lithospermum incisum,corolla (petals) tube 3 - 4 times longer than the calyx (sepals); corolla salverform (trumpet-shaped); corolla lobes fringed.,3,5,dry slopes and valleys.
http://extension.colostate.edu/county/jeffco/natural/plant_images/lomatium_orientale_400x285.jpg,SALT-AND-PEPPER,"biscuit-root, white wild parsley",Lomatium orientale,red anthers; grayish leaves.,2,3,"plains, outwash mesas and foothills of the Front Range."
http://extension.colostate.edu/county/jeffco/natural/plant_images/mertensia_lanceolata_400x303.jpg,FOOTHILL MERTENSIA,lanceleaf chiming bells,Mertensia lanceolata,leaves with less than 2 pairs of prominent veins in stem leaves; filaments attached near the top of the cylindrical corolla tube and projecting beyond the junction of the tube and expanded portion of the flower.,2,3,"dry, sunny fields and slopes."
http://extension.colostate.edu/county/jeffco/natural/plant_images/micranthes_rhomboidea_275x400.jpg,SNOWBALL SAXIFRAGE,diamondleaf saxifrage,Micranthes rhomboidea,"leaves rhomboid (shaped like an equilateral parallelogram), tapering to a short, broad petiole (leaf stalk).",3,8,open areas and rocky slopes that are seasonally moist in spring.
http://extension.colostate.edu/county/jeffco/natural/plant_images/opuntia_polyacantha_1_main_400x251.jpg,PRICKLY-PEAR CACTUS,hunger cactus,Opuntia polyacantha,"pads very spiny, not wrinkled; fruits dry and withering soon after ripening.",3,6,"sunny, rocky slopes at 3,500 to 7,200 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/oreobatus_deliciosus_1_main_400x275.jpg,BOULDER RASPBERRY,Rocky Mountain raspberry,Oreobatus deliciosus,leaves 1 to 2.5 inches wide with rounded lobes.,6,8,"canyons of the Front Range, Arkansas Valley and San Luis Valley."
http://extension.colostate.edu/county/jeffco/natural/plant_images/oxytropis_lambertii_288x400.jpg,LAMBERT LOCO,crazy pea,Oxytropis lambertii,keel (lower boat-shaped petal in the pea family) tip is pointed; calyx with appressed (lying flat) hairs; some of foliage hairs dolabriform (2-armed or pick-like).,6,7,"grasslands of the plains, mountain parks and foothills at 4,500 to 10,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/pinus_ponderosa_1_main_293x400.jpg,PONDEROSA PINE,western yellow pine,Pinus ponderosa,"needles in (fascicles) of 3 or 2; female cones large, up to 6 inches long; male cones up to 2 inches long.",3,5,"exposed hillsides, mesas, and south-facing slopes."
http://extension.colostate.edu/county/jeffco/natural/plant_images/quercus_gambelii_1_main_400x271.jpg,GAMBEL OAK,scrub oak,Quercus gambelii,"leaves usually over 2 inches long, not rigid.",3,5,"foothills, Jefferson County and south at 5,000 to 9,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/scutellaria_brittonii_400x373.jpg,SKULLCAP,common skullcap,Scutellaria brittonii,leaves on the middle of the stem entire (without indentations).,3,6,"gravelly, dry openings in pine forests."
http://extension.colostate.edu/county/jeffco/natural/plant_images/verbascum_thapsus_357x400.jpg,MULLEIN,"common mullein, great mullein",Verbascum thapsus,leaves decurrent (base of leaves continue down the stem beyond the point of attachment); foliage woolly-pubescent (covered in dense hair-like wool).,6,9,"disturbed areas, roadsides, burned areas."
http://extension.colostate.edu/county/jeffco/natural/plant_images/viola_nuttallii_1_main_400x385.jpg,NUTTALL VIOLET,"yellow violet, yellow prairie violet",Viola nuttallii,"leaves narrowly lanceolate (lance-shaped) or lance-elliptic (oval), at least 3 times long as wide.",3,7,"meadows, open slopes, often blooming in the protection of rocks at 5,000 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/yucca_glauca_266x400.jpg,YUCCA,"spanish bayonet, soapweed",Yucca glauca,"flowers erect, drooping only in age; flowers in simple, narrow panicles (repeatedly branched flower cluster with stalked flowers).",6,6,"rocky areas on the plains and foothills; found up to 8,500 feet elevation."
