flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/aconitum_columbianum_372x400.jpg,MONKSHOOD,Columbian monkshood,Aconitum columbianum,"5 showy blue to purple sepals, with the upper sepal forming the hood.",6,8,"forest openings, wet meadows and thickets."
http://extension.colostate.edu/county/jeffco/natural/plant_images/agoseris_glauca_340x400.jpg,FALSE DANDELION,pale agoseris,Agoseris glauca,"outer phyllaries (bracts - small leaf-like structures - below a composite flower head) erect; flowers all ligulate (strap-shaped). Var. laciniata has a scape (flowering stem) less than 2 dm tall, pinnatifid (divided like a feather along a main axis) and a narrow head. Var. dasycephala is a tall coarse plant with large wooly heads.",6,9,dry meadows and open slopes.
http://extension.colostate.edu/county/jeffco/natural/plant_images/amerosedum_lanceolatum_400x267.jpg,YELLOW STONECROP,lanceleaf stonecrop,Amerosedum lanceolatum,"leaves succulent (fleshy), in basal (at the plant base) clusters, often deciduous (falling off, not persistent throughout the year) before anthesis (opening of the flower).",6,8,"rocky ground at 5,000 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/anemonidium_canadense_291x400.jpg,MEADOW ANEMONE,northern anemone,Anemonidium canadense,flowers solitary; achenes appressed-pubescent (with flat-lying hairs).,3,5,"moist areas, meadows and streamsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_ludoviciana_271x400.jpg,PRAIRIE SAGE,"Louisiana sagewort, Louisiana wormwood",Artemisia ludoviciana,leaves silver white to greenish.,7,10,"dry plains, roadcuts at 4,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/calochortus_gunnisonii_400x288.jpg,GUNNISON MARIPOSA,"mariposa lily, sego lily",Calochortus gunnisonii,cup-shaped flower with 3 petals and 3 sepals; petals with dark hairy spot at their base.,3,6,"aspen groves, meadows on the Eastern Slope"
http://extension.colostate.edu/county/jeffco/natural/plant_images/campanula_rotundifolia_1_main_400x345.jpg,HAREBELL,scotch bluebell,Campanula rotundifolia,corolla lobed only about 1/3; stems over 2 dm tall; flowers several per stem.,6,9,"dry mountain slopes at lower to middle altitudes (7,500 to 11,500 feet)."
http://extension.colostate.edu/county/jeffco/natural/plant_images/carduus_nutans_1_main_400x278.jpg,MUSK THISTLE,"nodding thistle, bristle thistle",Carduus nutans,heads with disk flowers only; pappus (extension of the ovary in sunflower family) barbellate (with short barbs); outer phyllaries (bracts - small leaf-like structures - that subtend a composite flower head) spreading-reflexed (bent backwards).,6,8,"neglected fields, overgrazed meadows and roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/castilleja_miniata_254x400.jpg,SCARLET PAINTBRUSH,red indian paintbrush,Castilleja miniata,red bracts (small leaf-like structures) deeply cleft.,5,9,"moist forests, meadows, aspen groves at 5,500 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/cerastium_strictum_1_main_316x400.jpg,MOUSE-EAR CHICKWEED,"field mouse-ear, field chickweed",Cerastium strictum,"floral stems with tufts of sterile shoots in leaf axils (angle where leaves join stems); bracts (small leaf-like structures) of the inflorescence (flower cluster) with scarious (dry, thin, papery) margins.",5,6,meadows and openings in pine forests.
