flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/aconitum_columbianum_372x400.jpg,MONKSHOOD,Columbian monkshood,Aconitum columbianum,"5 showy blue to purple sepals, with the upper sepal forming the hood.",6,8,"forest openings, wet meadows and thickets."
http://extension.colostate.edu/county/jeffco/natural/plant_images/agoseris_aurantiaca_250x400.jpg,BURNT-ORANGE AGOSERIS,"orange agoseris, burnt-orange dandelion",Agoseris aurantiaca,"leaves basal, somewhat lobed or toothed; heads with ray flowers only.",6,8,meadows
http://extension.colostate.edu/county/jeffco/natural/plant_images/amerosedum_lanceolatum_400x267.jpg,YELLOW STONECROP,lanceleaf stonecrop,Amerosedum lanceolatum,"leaves succulent (fleshy), in basal (at the plant base) clusters, often deciduous (falling off, not persistent throughout the year) before anthesis (opening of the flower).",6,8,"rocky ground at 5,000 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/antennaria_parvifolia_400x271.jpg,DWARF  PUSSYTOES,"pussytoes, sun-loving catspaw",Antennaria parvifolia,"usually with leafy stolons; leaves in basal rosette, white-tomentose on both sides (densely covered with thick-wooly hairs with no distinct orientation); phyllaries (bracts - small leaf-like structures - surrounding composite head) white or sometimes pinkish tips.",5,7,open montane forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_frigida_400x358.jpg,FRINGED MOUNTAIN SAGE,"fringed sage, silver sage, wormwood, pasture sage",Artemisia frigida,"leaves finely dissected, silvery-hairy; flowering stems erect.",6,8,"dry meadows and slopes at 3,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/bistorta_bistortoides_400x292.jpg,AMERICAN BISTORT,"bistort, western bistort, smartweed, knotweed, snakeweed",Bistorta bistortoides,white flowers in a dense cyclindric raceme; (elongated flower cluster with stalked flowers along a main axis); erect slender stem.,5,8,moist or wet meadows and swamps at high elevations.
http://extension.colostate.edu/county/jeffco/natural/plant_images/campanula_rotundifolia_1_main_400x345.jpg,HAREBELL,scotch bluebell,Campanula rotundifolia,corolla lobed only about 1/3; stems over 2 dm tall; flowers several per stem.,6,9,"dry mountain slopes at lower to middle altitudes (7,500 to 11,500 feet)."
http://extension.colostate.edu/county/jeffco/natural/plant_images/cerastium_strictum_1_main_316x400.jpg,MOUSE-EAR CHICKWEED,"field mouse-ear, field chickweed",Cerastium strictum,"floral stems with tufts of sterile shoots in leaf axils (angle where leaves join stems); bracts (small leaf-like structures) of the inflorescence (flower cluster) with scarious (dry, thin, papery) margins.",5,6,meadows and openings in pine forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/ciliaria_austromontana_400x311.jpg,SPOTTED SAXIFRAGE,dotted saxifrage,Ciliaria austromontana,"white petals dotted with purplish red spots; leaves mostly basal, tightly stacked.",6,8,"dry areas, along trails, rocky slopes, forest openings and boulder fields."
http://extension.colostate.edu/county/jeffco/natural/plant_images/clementsia_rhodantha_1_main_281x400.jpg,ROSE CROWN,queen's crown,Clementsia rhodantha,"flowers in dense clusters, rose colored, resembling red clover; numerous fleshy stem leaves; stout rootstock; in colonies.",6,8,"in bogs, seeps, and moist ground of meadows, along streams and pond shores."
