flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/adenolinum_lewisii_1_378x400.jpg,WILD BLUE FLAX,blue flax,Adenolinum lewisii,stigma capitate (headed); plant produces many branches from the base; styles of same length on different plants.,5,8,"dry slopes, forest clearings, roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/allium_textile_371x400.jpg,WILD ONION,"plains onion, early onion, textile onion",Allium textile,inflorescence (flower cluster) erect; leaves 2 per scape (leafless flower stalk).,3,5,dry slopes and hillsides.
http://extension.colostate.edu/county/jeffco/natural/plant_images/alnus_incana_1_main_298x400.jpg,THINLEAF ALDER,american speckled alder,Alnus incana,"scales of the carpellate (female) catkin thick and woody, resembling a small pine cone; leaves wrinkled; pith triangular in cross-section.",3,5,streambanks and pond borders.
http://extension.colostate.edu/county/jeffco/natural/plant_images/amelanchier_alnifolia_1_main_400x333.jpg,SASKATOON SERVICEBERRY,shadblow,Amelanchier alnifolia,"upright, arching branches form a rounded crown; leaves broadly ovate (egg-shaped), sharply rounded at the base; flowers in axillary (where the leaf joins the stem) clusters; leaves and twigs glabrous (hairless) in age.",2,3,forested parts of mountains.
http://extension.colostate.edu/county/jeffco/natural/plant_images/amerosedum_lanceolatum_400x267.jpg,YELLOW STONECROP,lanceleaf stonecrop,Amerosedum lanceolatum,"leaves succulent (fleshy), in basal (at the plant base) clusters, often deciduous (falling off, not persistent throughout the year) before anthesis (opening of the flower).",6,8,"rocky ground at 5,000 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/anemonidium_canadense_291x400.jpg,MEADOW ANEMONE,northern anemone,Anemonidium canadense,flowers solitary; achenes appressed-pubescent (with flat-lying hairs).,3,5,"moist areas, meadows and streamsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/antennaria_parvifolia_400x271.jpg,DWARF  PUSSYTOES,"pussytoes, sun-loving catspaw",Antennaria parvifolia,"usually with leafy stolons; leaves in basal rosette, white-tomentose on both sides (densely covered with thick-wooly hairs with no distinct orientation); phyllaries (bracts - small leaf-like structures - surrounding composite head) white or sometimes pinkish tips.",5,7,open montane forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/arctostaphylos_uva-ursi_1_main_400x304.jpg,KINNIKINNICK,bearberry,Arctostaphylos uva-ursi,leaves green on both sides; flowers urn-shaped.,3,6,"gravelly or rocky forest openings and slopes at 7,000 to 11,500 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_frigida_400x358.jpg,FRINGED MOUNTAIN SAGE,"fringed sage, silver sage, wormwood, pasture sage",Artemisia frigida,"leaves finely dissected, silvery-hairy; flowering stems erect.",6,8,"dry meadows and slopes at 3,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_ludoviciana_271x400.jpg,PRAIRIE SAGE,"Louisiana sagewort, Louisiana wormwood",Artemisia ludoviciana,leaves silver white to greenish.,7,10,"dry plains, roadcuts at 4,000 to 11,000 feet elevation."
