flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/aconitum_columbianum_372x400.jpg,MONKSHOOD,Columbian monkshood,Aconitum columbianum,"5 showy blue to purple sepals, with the upper sepal forming the hood.",6,8,"forest openings, wet meadows and thickets."
http://extension.colostate.edu/county/jeffco/natural/plant_images/agoseris_aurantiaca_250x400.jpg,BURNT-ORANGE AGOSERIS,"orange agoseris, burnt-orange dandelion",Agoseris aurantiaca,"leaves basal, somewhat lobed or toothed; heads with ray flowers only.",6,8,meadows
http://extension.colostate.edu/county/jeffco/natural/plant_images/amerosedum_lanceolatum_400x267.jpg,YELLOW STONECROP,lanceleaf stonecrop,Amerosedum lanceolatum,"leaves succulent (fleshy), in basal (at the plant base) clusters, often deciduous (falling off, not persistent throughout the year) before anthesis (opening of the flower).",6,8,"rocky ground at 5,000 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/anemone_cylindrica_259x400.jpg,CANDLE  ANEMONE,thimbleweed,Anemone cylindrica,receptacle (swollen top of the stem to which floral parts are attached) cylindrical; styles crimson; plant cinereously (ashy-gray) silky pubescent (hairy).,3,6,"meadows, streamsides, roadside ditches."
http://extension.colostate.edu/county/jeffco/natural/plant_images/antennaria_parvifolia_400x271.jpg,DWARF  PUSSYTOES,"pussytoes, sun-loving catspaw",Antennaria parvifolia,"usually with leafy stolons; leaves in basal rosette, white-tomentose on both sides (densely covered with thick-wooly hairs with no distinct orientation); phyllaries (bracts - small leaf-like structures - surrounding composite head) white or sometimes pinkish tips.",5,7,open montane forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/arctostaphylos_uva-ursi_1_main_400x304.jpg,KINNIKINNICK,bearberry,Arctostaphylos uva-ursi,leaves green on both sides; flowers urn-shaped.,3,6,"gravelly or rocky forest openings and slopes at 7,000 to 11,500 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/bistorta_bistortoides_400x292.jpg,AMERICAN BISTORT,"bistort, western bistort, smartweed, knotweed, snakeweed",Bistorta bistortoides,white flowers in a dense cyclindric raceme; (elongated flower cluster with stalked flowers along a main axis); erect slender stem.,5,8,moist or wet meadows and swamps at high elevations.
http://extension.colostate.edu/county/jeffco/natural/plant_images/chamerion_danielsii_1_main_268x400.jpg,COMMON FIREWEED,fireweed,Chamerion danielsii,"raceme (flower cluster with stalked flowers along a main axis) not leafy; styles hairy at the base, exceeding the stamens.",6,9,"burned areas, roadsides, forest openings."
http://extension.colostate.edu/county/jeffco/natural/plant_images/clementsia_rhodantha_1_main_281x400.jpg,ROSE CROWN,queen's crown,Clementsia rhodantha,"flowers in dense clusters, rose colored, resembling red clover; numerous fleshy stem leaves; stout rootstock; in colonies.",6,8,"in bogs, seeps, and moist ground of meadows, along streams and pond shores."
http://extension.colostate.edu/county/jeffco/natural/plant_images/distegia_involucrata_400x324.jpg,TWINBERRY,bush honeysuckle,Distegia involucrata,"flowers seated in conspicuous, leaflike cup of bracts (small leaf-like structures).",3,5,"along mountain streams and moist slopes at 6,000 to 10,000 feet."
