flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/aconitum_columbianum_372x400.jpg,MONKSHOOD,Columbian monkshood,Aconitum columbianum,"5 showy blue to purple sepals, with the upper sepal forming the hood.",6,8,"forest openings, wet meadows and thickets."
http://extension.colostate.edu/county/jeffco/natural/plant_images/adenolinum_lewisii_1_378x400.jpg,WILD BLUE FLAX,blue flax,Adenolinum lewisii,stigma capitate (headed); plant produces many branches from the base; styles of same length on different plants.,5,8,"dry slopes, forest clearings, roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/alnus_incana_1_main_298x400.jpg,THINLEAF ALDER,american speckled alder,Alnus incana,"scales of the carpellate (female) catkin thick and woody, resembling a small pine cone; leaves wrinkled; pith triangular in cross-section.",3,5,streambanks and pond borders.
http://extension.colostate.edu/county/jeffco/natural/plant_images/arctostaphylos_uva-ursi_1_main_400x304.jpg,KINNIKINNICK,bearberry,Arctostaphylos uva-ursi,leaves green on both sides; flowers urn-shaped.,3,6,"gravelly or rocky forest openings and slopes at 7,000 to 11,500 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/calochortus_gunnisonii_400x288.jpg,GUNNISON MARIPOSA,"mariposa lily, sego lily",Calochortus gunnisonii,cup-shaped flower with 3 petals and 3 sepals; petals with dark hairy spot at their base.,3,6,"aspen groves, meadows on the Eastern Slope"
http://extension.colostate.edu/county/jeffco/natural/plant_images/campanula_rotundifolia_1_main_400x345.jpg,HAREBELL,scotch bluebell,Campanula rotundifolia,corolla lobed only about 1/3; stems over 2 dm tall; flowers several per stem.,6,9,"dry mountain slopes at lower to middle altitudes (7,500 to 11,500 feet)."
http://extension.colostate.edu/county/jeffco/natural/plant_images/carduus_nutans_1_main_400x278.jpg,MUSK THISTLE,"nodding thistle, bristle thistle",Carduus nutans,heads with disk flowers only; pappus (extension of the ovary in sunflower family) barbellate (with short barbs); outer phyllaries (bracts - small leaf-like structures - that subtend a composite flower head) spreading-reflexed (bent backwards).,6,8,"neglected fields, overgrazed meadows and roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/ceanothus_fendleri_400x347.jpg,BUCKBRUSH,"Fendler ceanothus, mountain lilac",Ceanothus fendleri,stamens opposite (attached in front of) the petals.,6,6,"foothills and dry montane forests at 5,000 to 10,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/chamerion_danielsii_1_main_268x400.jpg,COMMON FIREWEED,fireweed,Chamerion danielsii,"raceme (flower cluster with stalked flowers along a main axis) not leafy; styles hairy at the base, exceeding the stamens.",6,9,"burned areas, roadsides, forest openings."
http://extension.colostate.edu/county/jeffco/natural/plant_images/geranium_richardsonii_400x257.jpg,RICHARDSON GERANIUM,white geranium,Geranium richardsonii,"petals white with purple veins, pilose (having long, soft hairs) on the lower half; plant erect with a single or a few stems.",5,10,"moist, shaded areas; aspen groves, spruce-fir forests."
