flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/aconitum_columbianum_372x400.jpg,MONKSHOOD,Columbian monkshood,Aconitum columbianum,"5 showy blue to purple sepals, with the upper sepal forming the hood.",6,8,"forest openings, wet meadows and thickets."
http://extension.colostate.edu/county/jeffco/natural/plant_images/acrolasia_albicaulis_400x299.jpg,SMALL-FLOWERED STICKLEAF,white-stem blazing star,Acrolasia albicaulis,"leaves sessile (without a stalk), with shallow and regularly scalloped margins.",5,7,dry sites.
http://extension.colostate.edu/county/jeffco/natural/plant_images/adenolinum_lewisii_1_378x400.jpg,WILD BLUE FLAX,blue flax,Adenolinum lewisii,stigma capitate (headed); plant produces many branches from the base; styles of same length on different plants.,5,8,"dry slopes, forest clearings, roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/agoseris_aurantiaca_250x400.jpg,BURNT-ORANGE AGOSERIS,"orange agoseris, burnt-orange dandelion",Agoseris aurantiaca,"leaves basal, somewhat lobed or toothed; heads with ray flowers only.",6,8,meadows
http://extension.colostate.edu/county/jeffco/natural/plant_images/agoseris_glauca_340x400.jpg,FALSE DANDELION,pale agoseris,Agoseris glauca,"outer phyllaries (bracts - small leaf-like structures - below a composite flower head) erect; flowers all ligulate (strap-shaped). Var. laciniata has a scape (flowering stem) less than 2 dm tall, pinnatifid (divided like a feather along a main axis) and a narrow head. Var. dasycephala is a tall coarse plant with large wooly heads.",6,9,dry meadows and open slopes.
http://extension.colostate.edu/county/jeffco/natural/plant_images/amelanchier_alnifolia_1_main_400x333.jpg,SASKATOON SERVICEBERRY,shadblow,Amelanchier alnifolia,"upright, arching branches form a rounded crown; leaves broadly ovate (egg-shaped), sharply rounded at the base; flowers in axillary (where the leaf joins the stem) clusters; leaves and twigs glabrous (hairless) in age.",2,3,forested parts of mountains.
http://extension.colostate.edu/county/jeffco/natural/plant_images/amerosedum_lanceolatum_400x267.jpg,YELLOW STONECROP,lanceleaf stonecrop,Amerosedum lanceolatum,"leaves succulent (fleshy), in basal (at the plant base) clusters, often deciduous (falling off, not persistent throughout the year) before anthesis (opening of the flower).",6,8,"rocky ground at 5,000 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/antennaria_parvifolia_400x271.jpg,DWARF  PUSSYTOES,"pussytoes, sun-loving catspaw",Antennaria parvifolia,"usually with leafy stolons; leaves in basal rosette, white-tomentose on both sides (densely covered with thick-wooly hairs with no distinct orientation); phyllaries (bracts - small leaf-like structures - surrounding composite head) white or sometimes pinkish tips.",5,7,open montane forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/antennaria_rosea_400x332.jpg,PINK PUSSYTOES,pussytoes,Antennaria rosea,mat-forming usually with leafy stolons (stem running along surface of the ground); leaves in a basal rosette are white-tomentose on both sides (densely covered with thick-wooly hairs with no distinct orientation); phyllaries (bracts - small leaf-like structures - surrounding a composite head) pink or white.,6,6,forested areas.
http://extension.colostate.edu/county/jeffco/natural/plant_images/aristida_purpurea_400x320.jpg,RED THREE-AWN,purple three-awn,Aristida purpurea,"glumes (basal empty bracts - small leaf-like structures - enclosing the base of grass spikelet - smallest flower cluster) unequal, the first half as long as the second.",5,5,"dry hills, disturbed sited at 2,700 to 7,600 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_frigida_400x358.jpg,FRINGED MOUNTAIN SAGE,"fringed sage, silver sage, wormwood, pasture sage",Artemisia frigida,"leaves finely dissected, silvery-hairy; flowering stems erect.",6,8,"dry meadows and slopes at 3,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_ludoviciana_271x400.jpg,PRAIRIE SAGE,"Louisiana sagewort, Louisiana wormwood",Artemisia ludoviciana,leaves silver white to greenish.,7,10,"dry plains, roadcuts at 4,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/atriplex_canescens_396x400.jpg,FOUR-WINGED SALTBUSH,"chamiso, chico, orache",Atriplex canescens,"shrubby throughout; fruit bracts (small leaf-like structures) with the margins spreading apart, creating four wings; plant widely and stiffly branched.",7,8,"sagebrush zone and greasewood flats on the plains and San Luis Valley; sandy and alkaline areas at 4,000 to 8,000 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/bistorta_bistortoides_400x292.jpg,AMERICAN BISTORT,"bistort, western bistort, smartweed, knotweed, snakeweed",Bistorta bistortoides,white flowers in a dense cyclindric raceme; (elongated flower cluster with stalked flowers along a main axis); erect slender stem.,5,8,moist or wet meadows and swamps at high elevations.
http://extension.colostate.edu/county/jeffco/natural/plant_images/calochortus_gunnisonii_400x288.jpg,GUNNISON MARIPOSA,"mariposa lily, sego lily",Calochortus gunnisonii,cup-shaped flower with 3 petals and 3 sepals; petals with dark hairy spot at their base.,3,6,"aspen groves, meadows on the Eastern Slope"
http://extension.colostate.edu/county/jeffco/natural/plant_images/campanula_rotundifolia_1_main_400x345.jpg,HAREBELL,scotch bluebell,Campanula rotundifolia,corolla lobed only about 1/3; stems over 2 dm tall; flowers several per stem.,6,9,"dry mountain slopes at lower to middle altitudes (7,500 to 11,500 feet)."
http://extension.colostate.edu/county/jeffco/natural/plant_images/castilleja_chromosa_1_main_400x302.jpg,COLORFUL INDIAN PAINTBRUSH,desert paintbrush,Castilleja chromosa,"stems erect, leafy to the slender root crown; bracts (small leaf-like structures) and leaves little incised, softly pilose (having long soft hairs); lower lip and most of the galea (upper lip of bilaterially symmetrical corollas) usually included in the calyx tube; fresh roots yellow.",3,6,"deep sandy loam, sagebrush, valleys, drylands at 4,000 to 9,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/castilleja_linariifolia_261x400.jpg,WYOMING PAINTBRUSH,orange paintbrush,Castilleja linariifolia,"leaves linear, bracts red; calyx (ring of sepals) incised much more deeply below than above.",6,8,"open meadows, forest openings, aspen groves, sagebrush at 4,000 to 10,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/cerastium_strictum_1_main_316x400.jpg,MOUSE-EAR CHICKWEED,"field mouse-ear, field chickweed",Cerastium strictum,"floral stems with tufts of sterile shoots in leaf axils (angle where leaves join stems); bracts (small leaf-like structures) of the inflorescence (flower cluster) with scarious (dry, thin, papery) margins.",5,6,meadows and openings in pine forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/cercocarpus_montanus_1_main_400x242.jpg,MOUNTAIN MAHOGANY,alderleaf mountain mahogany,Cercocarpus montanus,leaves densely pubescent (hairy) underneath.,6,6,"dry, rocky slopes at 4,500 to 9,000 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/chamerion_danielsii_1_main_268x400.jpg,COMMON FIREWEED,fireweed,Chamerion danielsii,"raceme (flower cluster with stalked flowers along a main axis) not leafy; styles hairy at the base, exceeding the stamens.",6,9,"burned areas, roadsides, forest openings."
http://extension.colostate.edu/county/jeffco/natural/plant_images/chorispora_tenella_400x356.jpg,BLUE  MUSTARD,blue mustard,Chorispora tenella,basal (at base of the plant) leaves are dentate (toothed with teeth projecting outward rather than forward).,3,5,fallow fields
http://extension.colostate.edu/county/jeffco/natural/plant_images/ciliaria_austromontana_400x311.jpg,SPOTTED SAXIFRAGE,dotted saxifrage,Ciliaria austromontana,"white petals dotted with purplish red spots; leaves mostly basal, tightly stacked.",6,8,"dry areas, along trails, rocky slopes, forest openings and boulder fields."
http://extension.colostate.edu/county/jeffco/natural/plant_images/clematis_ligusticifolia_400x271.jpg,WESTERN VIRGIN'S BOWER,virgin's bower,Clematis ligusticifolia,tepals (undifferentiated petals and sepals) 4 and thin; flowers imperfect (either male or female); styles becoming long and feathery in fruit.,6,8,"valley bottoms; riparian areas at 4,000 to 7,500 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/clementsia_rhodantha_1_main_281x400.jpg,ROSE CROWN,queen's crown,Clementsia rhodantha,"flowers in dense clusters, rose colored, resembling red clover; numerous fleshy stem leaves; stout rootstock; in colonies.",6,8,"in bogs, seeps, and moist ground of meadows, along streams and pond shores."
http://extension.colostate.edu/county/jeffco/natural/plant_images/collinsia_parviflora_400x380.jpg,BLUE-EYED MARY,"hunchback flower, baby blue eyes",Collinsia parviflora,small widely branched plant with  maroon color on the stems and on the underside of the leaves.,3,5,"open forests, disturbed areas."
http://extension.colostate.edu/county/jeffco/natural/plant_images/collomia_linearis_194x400.jpg,TINY TRUMPET,"collomia, narrow-leaf mountain-trumpet, slenderleaf collomia",Collomia linearis,"leaves lanceolate (lance-shaped); flowers in a dense terminal cluster surrounded by enlarged, leaf-like bracts (small leaf-like structures).",5,8,"roadsides, grasslands, disturbed areas."
http://extension.colostate.edu/county/jeffco/natural/plant_images/comandra_umbellata_1_main_351x400.jpg,BASTARD-TOADFLAX,pale bastard toadflax,Comandra umbellata,"leaves alternate (one at each node or point of attachment to the stem), bluish-green.",3,7,"dry, sandy slopes, open woods, sagebrush ecosystems."
http://extension.colostate.edu/county/jeffco/natural/plant_images/corydalis_aurea_1_main_400x286.jpg,GOLDEN SMOKE,scrambled eggs,Corydalis aurea,"sepals 2, minute; petals separate (not united at any point in the corolla); flowers racemose (in racemes i.e stalked flowers attached along a main axis).",3,10,disturbed soil in roadbanks and ravines.
http://extension.colostate.edu/county/jeffco/natural/plant_images/delphinium_barbeyi_277x400.jpg,SUBALPINE LARKSPUR,TALL DELPHINIUM,Delphinium barbeyi,"fragrant flowers in terminal, sipke-like cluster with small, purple, white-margined petals and 5 deep purple sepals; upper sepal has 3/8in long spur; leaves have 5-7 coarsely toothed lobes.",7,8,"moist places such as bogs, stream banks, meadows, seeps, ponds, and forest openings."
http://extension.colostate.edu/county/jeffco/natural/plant_images/distegia_involucrata_400x324.jpg,TWINBERRY,bush honeysuckle,Distegia involucrata,"flowers seated in conspicuous, leaflike cup of bracts (small leaf-like structures).",3,5,"along mountain streams and moist slopes at 6,000 to 10,000 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/echinocereus_triglochidiatus_400x315.jpg,CLARETCUP,"hedgehog cactus, claretcup cactus",Echinocereus triglochidiatus,Flowers scarlet; petals rounded and cupped; stems numerous.  Produces several short cylindrical stems from which brilliant flowers arise on the sides.,5,7,"open, rocky slopes at 3,200 to 9,000 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/elymus_elymoides_400x292.jpg,SQUIRRELTAIL,bottlebrush squirreltail,Elymus elymoides,"two spikelets (in grasses, the smallest flower cluster) per node; glumes (basal empty bracts - small leaf-like structures - enclosing the base of grass spikelet - smallest flower cluster) and lemmas (outer bract of grass floret) awned (containing a stiff bristlelike appendage), the awns long and spreading.",5,5,"dry hillsides, open woodlands, rocky slopes, distrubed sites at 3,500 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/erigeron_divergens_400x301.jpg,BRANCHING ERIGERON,"spreading fleabane, branching daisy",Erigeron divergens,flowers numerous and pinkish; pappus (hair-like extension of the ovary) of ray and disk flowers alike; stem pubescence (hairs) widely spreading; stems with relatively few branches.,3,8,ruderal (disturbed) areas and gravelly floodplains.
http://extension.colostate.edu/county/jeffco/natural/plant_images/erigeron_flagellaris_400x380.jpg,WHIPLASH DAISY,"whiplash erigeron, trailing daisy, trailing fleabane",Erigeron flagellaris,stolons ( horizontal stems that take root as in the strawberry) rooting at the tips; stem hairs appressed (lying flat); pappus (hairlike extension of the ovary) of 2 rows of bristles of different lengths.,3,8,"dry meadows at 6,500 to 10,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/erigeron_speciosus_400x281.jpg,SHOWY DAISY,"aspen daisy, purple fleabane",Erigeron speciosus,upper and middle stem leaves glabrous except for ciliate margins (edged with hairs); plants uniformly leafy with middle leaves as large as lower leaves.,6,8,"aspen groves, forest margins and openings at 6,000 to 11,000 feet.."
http://extension.colostate.edu/county/jeffco/natural/plant_images/eriogonum_umbellatum_1_main_301x400.jpg,SULPHUR FLOWER,sulfur buckwheat,Eriogonum umbellatum,"grows in broad, loose mats; perianth (petals and sepals) narrowed at the base to a stipe (stalk) and externally glabrous (smooth).",6,8,"forest openings, dry meadows, rocky slopes at 5,000 to 11,500 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/erodium_cicutarium_1_main_400x275.jpg,REDSTEM FILAREE,"filaree, crane's bill, alfilaria, storksbill",Erodium cicutarium,carpel (seed pod section) tails hairy on inner side; leaves pinnately compound.,3,10,disturbed sites
http://extension.colostate.edu/county/jeffco/natural/plant_images/erysimum_capitatum_376x400.jpg,ALPINE WALLFLOWER,little wallflower,Erysimum capitatum,"siliques (fruits) almost glabrous (hairless) and ascending, nearly parallel to the stem although pedicels (stalks) may spread widely.",3,8,gravelly slopes and hillsides and forest openings.
http://extension.colostate.edu/county/jeffco/natural/plant_images/erythronium_grandiflorum_286x400.jpg,GLACIER LILY,avalanche lily,Erythronium grandiflorum,"leaves appearing basal, cauline (stem) leaves when opposite, much reduced; leaves elliptical; flowers yellow.",5,6,"near melting snowbanks along streams, meadows, and in aspen groves at 5,500 to 10,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/frasera_speciosa_232x400.jpg,GREEN GENTIAN,"monument plant, elkweed",Frasera speciosa,"fleshy leaves in whorls; blooming plant tall, up to 6 ft.; flowers greenish-white.",6,8,pine forests and meadows.
