flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/aconitum_columbianum_372x400.jpg,MONKSHOOD,Columbian monkshood,Aconitum columbianum,"5 showy blue to purple sepals, with the upper sepal forming the hood.",6,8,"forest openings, wet meadows and thickets."
http://extension.colostate.edu/county/jeffco/natural/plant_images/actaea_rubra_287x400.jpg,BANEBERRY,red baneberry,Actaea rubra,flower stalks slender.,5,6,deep shaded areas in forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/amelanchier_alnifolia_1_main_400x333.jpg,SASKATOON SERVICEBERRY,shadblow,Amelanchier alnifolia,"upright, arching branches form a rounded crown; leaves broadly ovate (egg-shaped), sharply rounded at the base; flowers in axillary (where the leaf joins the stem) clusters; leaves and twigs glabrous (hairless) in age.",2,3,forested parts of mountains.
http://extension.colostate.edu/county/jeffco/natural/plant_images/antennaria_rosea_400x332.jpg,PINK PUSSYTOES,pussytoes,Antennaria rosea,mat-forming usually with leafy stolons (stem running along surface of the ground); leaves in a basal rosette are white-tomentose on both sides (densely covered with thick-wooly hairs with no distinct orientation); phyllaries (bracts - small leaf-like structures - surrounding a composite head) pink or white.,6,6,forested areas.
http://extension.colostate.edu/county/jeffco/natural/plant_images/calochortus_gunnisonii_400x288.jpg,GUNNISON MARIPOSA,"mariposa lily, sego lily",Calochortus gunnisonii,cup-shaped flower with 3 petals and 3 sepals; petals with dark hairy spot at their base.,3,6,"aspen groves, meadows on the Eastern Slope"
http://extension.colostate.edu/county/jeffco/natural/plant_images/chamerion_danielsii_1_main_268x400.jpg,COMMON FIREWEED,fireweed,Chamerion danielsii,"raceme (flower cluster with stalked flowers along a main axis) not leafy; styles hairy at the base, exceeding the stamens.",6,9,"burned areas, roadsides, forest openings."
http://extension.colostate.edu/county/jeffco/natural/plant_images/clematis_ligusticifolia_400x271.jpg,WESTERN VIRGIN'S BOWER,virgin's bower,Clematis ligusticifolia,tepals (undifferentiated petals and sepals) 4 and thin; flowers imperfect (either male or female); styles becoming long and feathery in fruit.,6,8,"valley bottoms; riparian areas at 4,000 to 7,500 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/collinsia_parviflora_400x380.jpg,BLUE-EYED MARY,"hunchback flower, baby blue eyes",Collinsia parviflora,small widely branched plant with  maroon color on the stems and on the underside of the leaves.,3,5,"open forests, disturbed areas."
http://extension.colostate.edu/county/jeffco/natural/plant_images/convolvulus_arvensis_400x227.jpg,FIELD BINDWEED,"field bindweed, creeping jenny, morning glory",Convolvulus arvensis,"leaves triangular-hastate (arrowhead-shaped), glabrous (hairless) or nearly so.",6,8,"roadsides, cultivated fields and waste places."
http://extension.colostate.edu/county/jeffco/natural/plant_images/distegia_involucrata_400x324.jpg,TWINBERRY,bush honeysuckle,Distegia involucrata,"flowers seated in conspicuous, leaflike cup of bracts (small leaf-like structures).",3,5,"along mountain streams and moist slopes at 6,000 to 10,000 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/eriogonum_umbellatum_1_main_301x400.jpg,SULPHUR FLOWER,sulfur buckwheat,Eriogonum umbellatum,"grows in broad, loose mats; perianth (petals and sepals) narrowed at the base to a stipe (stalk) and externally glabrous (smooth).",6,8,"forest openings, dry meadows, rocky slopes at 5,000 to 11,500 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/erodium_cicutarium_1_main_400x275.jpg,REDSTEM FILAREE,"filaree, crane's bill, alfilaria, storksbill",Erodium cicutarium,carpel (seed pod section) tails hairy on inner side; leaves pinnately compound.,3,10,disturbed sites
http://extension.colostate.edu/county/jeffco/natural/plant_images/erysimum_capitatum_376x400.jpg,ALPINE WALLFLOWER,little wallflower,Erysimum capitatum,"siliques (fruits) almost glabrous (hairless) and ascending, nearly parallel to the stem although pedicels (stalks) may spread widely.",3,8,gravelly slopes and hillsides and forest openings.
http://extension.colostate.edu/county/jeffco/natural/plant_images/galium_septentrionale_177x400.jpg,BEDSTRAW,northern bedstraw,Galium septentrionale,"leaves lanceolate (lance-shaped), blunt-tipped, 4 at a node (point on a stem where leaves or branches occur); inflorescence (flower cluster) pyramidal.",5,8,moist meadows and woodlands.
http://extension.colostate.edu/county/jeffco/natural/plant_images/geranium_richardsonii_400x257.jpg,RICHARDSON GERANIUM,white geranium,Geranium richardsonii,"petals white with purple veins, pilose (having long, soft hairs) on the lower half; plant erect with a single or a few stems.",5,10,"moist, shaded areas; aspen groves, spruce-fir forests."
http://extension.colostate.edu/county/jeffco/natural/plant_images/geum_macrophyllum_291x400.jpg,LARGE-LEAVED AVENS,bur avens,Geum macrophyllum,portion of the style provided with stalked glands; terminal leaf segment usually greatly enlarged.,6,8,moist meadows and streamsides.
http://extension.colostate.edu/county/jeffco/natural/plant_images/heuchera_parvifolia_162x400.jpg,COMMON ALUMROOT,"small-leaved alumroot, little leaf alumroot",Heuchera parvifolia,stamens shorter than the sepals.,5,8,cliffs and rock outcrops.
http://extension.colostate.edu/county/jeffco/natural/plant_images/holodiscus_discolor_400x255.jpg,ROCK SPIREA,"mountain spray, ocean spray",Holodiscus discolor,"flowers in terminal, many-flowered panicles (repeatedly branched flower clusters).",6,8,"shaded cliff-faces, rocky slopes, hillsides, riverbottoms at 4,500 to 11,000 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/ipomopsis_aggregata_400x225.jpg,FAIRY TRUMPET,"skyrocket, scarlet gilia (red form), white gilia",Ipomopsis aggregata,ovary with 3 locules (compartments); corolla (petals) salverform (with a long narrow tube opening into a wider cup i.e. trumpet-shaped).,3,5,gravelly open areas.
http://extension.colostate.edu/county/jeffco/natural/plant_images/mahonia_repens_400x289.jpg,CREEPING HOLLYGRAPE,"Oregon grape, holly-grape, creeping oregon grape",Mahonia repens,above-ground stem short or lacking; leaflets broad with a few spiny teeth.,3,5,uplands and open coniferous forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/maianthemum_amplexicaule_291x400.jpg,FALSE SOLOMON SEAL,"claspleaf solomon's plume, many-flowered false solomon seal",Maianthemum amplexicaule,leaves clasping and broadly oval; flowers numerous in a dense panicle (branched flower cluster with stalked flowers).,3,5,"streamsides, moist meadows and gulches."
