flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/abronia_fragrans_400x274.jpg,SAND VERBENA,prairie snowball,Abronia fragrans,bracts (small leaf-like structures) 0.5 to 1 inch long; fruit 0.25 to 0.5 inch long; perianth 0.5 to 1.5 inch long; the limb white or purplish and ~ 0.5 inch long; leaves deltoid to oblong or lanceolate; sprawling plant with whitish sticky stems and heads of white or pinkish heads of fragrant flowers.,3,3,common on plains on sandy soil extending to foothills.
http://extension.colostate.edu/county/jeffco/natural/plant_images/allium_textile_371x400.jpg,WILD ONION,"plains onion, early onion, textile onion",Allium textile,inflorescence (flower cluster) erect; leaves 2 per scape (leafless flower stalk).,3,5,dry slopes and hillsides.
http://extension.colostate.edu/county/jeffco/natural/plant_images/andropogon_gerardii_257x400.jpg,BIG BLUESTEM,turkeyfoot,Andropogon gerardii,"flower cluster three-parted, resembling an upside-down turkey foot.",6,10,valleys
http://extension.colostate.edu/county/jeffco/natural/plant_images/antennaria_parvifolia_400x271.jpg,DWARF  PUSSYTOES,"pussytoes, sun-loving catspaw",Antennaria parvifolia,"usually with leafy stolons; leaves in basal rosette, white-tomentose on both sides (densely covered with thick-wooly hairs with no distinct orientation); phyllaries (bracts - small leaf-like structures - surrounding composite head) white or sometimes pinkish tips.",5,7,open montane forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/aristida_purpurea_400x320.jpg,RED THREE-AWN,purple three-awn,Aristida purpurea,"glumes (basal empty bracts - small leaf-like structures - enclosing the base of grass spikelet - smallest flower cluster) unequal, the first half as long as the second.",5,5,"dry hills, disturbed sited at 2,700 to 7,600 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_frigida_400x358.jpg,FRINGED MOUNTAIN SAGE,"fringed sage, silver sage, wormwood, pasture sage",Artemisia frigida,"leaves finely dissected, silvery-hairy; flowering stems erect.",6,8,"dry meadows and slopes at 3,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_ludoviciana_271x400.jpg,PRAIRIE SAGE,"Louisiana sagewort, Louisiana wormwood",Artemisia ludoviciana,leaves silver white to greenish.,7,10,"dry plains, roadcuts at 4,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/asclepias_pumila_1_main_317x400.jpg,DWARF MILKWEED,low milkweed,Asclepias pumila,"leaves crowded, string-like and not obviously whorled.",6,8,"dry, open hillsides and plains."
http://extension.colostate.edu/county/jeffco/natural/plant_images/asclepias_speciosa_1_main_318x400.jpg,SHOWY MILKWEED,pink milkweed,Asclepias speciosa,hoods (whorl of floral parts between petals and stamens) broadest at the base and tapering upwards; leaves oblong to lance-ovate (lance-shaped to egg-shaped).,6,8,"ditch banks, roadsides and fields."
http://extension.colostate.edu/county/jeffco/natural/plant_images/astragalus_agrestis_400x327.jpg,FIELD MILKVETCH,purple milk vetch,Astragalus agrestis,"blunt keel; flowers erect, clustered in ovoid heads; pubescence basifixed (hairs attached at the base).",3,5,grasslands on the plains and mesas.
http://extension.colostate.edu/county/jeffco/natural/plant_images/atriplex_canescens_396x400.jpg,FOUR-WINGED SALTBUSH,"chamiso, chico, orache",Atriplex canescens,"shrubby throughout; fruit bracts (small leaf-like structures) with the margins spreading apart, creating four wings; plant widely and stiffly branched.",7,8,"sagebrush zone and greasewood flats on the plains and San Luis Valley; sandy and alkaline areas at 4,000 to 8,000 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/bouteloua_curtipendula_267x400.jpg,SIDEOATS GRAMA,sideoats grama grass,Bouteloua curtipendula,spikelets form on one side of the stem.,7,7,"plains and outwash mesas of the Front Range, rocky hills, slopes at 3,200 to 7,400 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/brickellia_eupatorioides_1_main_400x360.jpg,FALSE BONESET,Brickellia,Brickellia eupatorioides,"Stem leaves toothed or if entire, linear to lanceolate and acute; flowering branches elongate and spreading",6,9,dry meadows
http://extension.colostate.edu/county/jeffco/natural/plant_images/carduus_nutans_1_main_400x278.jpg,MUSK THISTLE,"nodding thistle, bristle thistle",Carduus nutans,heads with disk flowers only; pappus (extension of the ovary in sunflower family) barbellate (with short barbs); outer phyllaries (bracts - small leaf-like structures - that subtend a composite flower head) spreading-reflexed (bent backwards).,6,8,"neglected fields, overgrazed meadows and roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/castilleja_integra_1_main_400x380.jpg,FOOTHILLS PAINTBRUSH,orange indian paintbrush,Castilleja integra,"calyx incised equally above and below; bracts (small leaf-like structures) broad and more conspicuous than calyx (sepals); leaves and stems tomentose (covered with wooly, multidirectional hairs); bracts orange.",6,8,grasslands of the foothills from Rocky Flats south; South Park.
http://extension.colostate.edu/county/jeffco/natural/plant_images/chondrosum_gracile_363x400.jpg,BLUE GRAMA,blue grama grass,Chondrosum gracile,"spike forms at the end of the rachis (axis of the flower); long hairs at the collar (where the blade joins the sheath - the part that surrounds the stem - of a grass leaf).",6,8,"grasslands of the plains, foothills, and intermountain parks at 3,200 to 9,700 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/conyza_canadensis_400x303.jpg,HORSEWEED,"marestail, butterweed",Conyza canadensis,"ray flowers minute, rarely exceeding the involucre (cluster of bracts - small leaf-like structures - at the base of flower cluster; in sunflowers, phyllaries); leaves linear, alternate, crowded on stem; heads numerous in diffuse panicles (branched flower cluster with stalked flowers).",6,8,"pastures, meadows, cultivated fields, roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/delphinium_carolinianum_269x400.jpg,PLAINS LARKSPUR,"blue larkspur, Carolina larkspur",Delphinium carolinianum,"stems single or a few together, not densely clustered.",5,7,"mesas, grasslands, dry open woods; sandy hills, brushlands."
http://extension.colostate.edu/county/jeffco/natural/plant_images/erigeron_divergens_400x301.jpg,BRANCHING ERIGERON,"spreading fleabane, branching daisy",Erigeron divergens,flowers numerous and pinkish; pappus (hair-like extension of the ovary) of ray and disk flowers alike; stem pubescence (hairs) widely spreading; stems with relatively few branches.,3,8,ruderal (disturbed) areas and gravelly floodplains.
http://extension.colostate.edu/county/jeffco/natural/plant_images/erigeron_flagellaris_400x380.jpg,WHIPLASH DAISY,"whiplash erigeron, trailing daisy, trailing fleabane",Erigeron flagellaris,stolons ( horizontal stems that take root as in the strawberry) rooting at the tips; stem hairs appressed (lying flat); pappus (hairlike extension of the ovary) of 2 rows of bristles of different lengths.,3,8,"dry meadows at 6,500 to 10,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/erigeron_pumilus_400x307.jpg,DWARF FLEABANE,low daisy,Erigeron pumilus,"stem and leaf pubescence (hairs) spreading; plant forms a dense clump; leaves twisted, sticky and hairy.",5,8,dry open grasslands and mesas.
