flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/adenolinum_lewisii_1_378x400.jpg,WILD BLUE FLAX,blue flax,Adenolinum lewisii,stigma capitate (headed); plant produces many branches from the base; styles of same length on different plants.,5,8,"dry slopes, forest clearings, roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/agoseris_aurantiaca_250x400.jpg,BURNT-ORANGE AGOSERIS,"orange agoseris, burnt-orange dandelion",Agoseris aurantiaca,"leaves basal, somewhat lobed or toothed; heads with ray flowers only.",6,8,meadows
http://extension.colostate.edu/county/jeffco/natural/plant_images/alnus_incana_1_main_298x400.jpg,THINLEAF ALDER,american speckled alder,Alnus incana,"scales of the carpellate (female) catkin thick and woody, resembling a small pine cone; leaves wrinkled; pith triangular in cross-section.",3,5,streambanks and pond borders.
http://extension.colostate.edu/county/jeffco/natural/plant_images/amerosedum_lanceolatum_400x267.jpg,YELLOW STONECROP,lanceleaf stonecrop,Amerosedum lanceolatum,"leaves succulent (fleshy), in basal (at the plant base) clusters, often deciduous (falling off, not persistent throughout the year) before anthesis (opening of the flower).",6,8,"rocky ground at 5,000 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/anemone_cylindrica_259x400.jpg,CANDLE  ANEMONE,thimbleweed,Anemone cylindrica,receptacle (swollen top of the stem to which floral parts are attached) cylindrical; styles crimson; plant cinereously (ashy-gray) silky pubescent (hairy).,3,6,"meadows, streamsides, roadside ditches."
http://extension.colostate.edu/county/jeffco/natural/plant_images/anemonidium_canadense_291x400.jpg,MEADOW ANEMONE,northern anemone,Anemonidium canadense,flowers solitary; achenes appressed-pubescent (with flat-lying hairs).,3,5,"moist areas, meadows and streamsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/antennaria_parvifolia_400x271.jpg,DWARF  PUSSYTOES,"pussytoes, sun-loving catspaw",Antennaria parvifolia,"usually with leafy stolons; leaves in basal rosette, white-tomentose on both sides (densely covered with thick-wooly hairs with no distinct orientation); phyllaries (bracts - small leaf-like structures - surrounding composite head) white or sometimes pinkish tips.",5,7,open montane forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/antennaria_rosea_400x332.jpg,PINK PUSSYTOES,pussytoes,Antennaria rosea,mat-forming usually with leafy stolons (stem running along surface of the ground); leaves in a basal rosette are white-tomentose on both sides (densely covered with thick-wooly hairs with no distinct orientation); phyllaries (bracts - small leaf-like structures - surrounding a composite head) pink or white.,6,6,forested areas.
http://extension.colostate.edu/county/jeffco/natural/plant_images/arctostaphylos_uva-ursi_1_main_400x304.jpg,KINNIKINNICK,bearberry,Arctostaphylos uva-ursi,leaves green on both sides; flowers urn-shaped.,3,6,"gravelly or rocky forest openings and slopes at 7,000 to 11,500 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_frigida_400x358.jpg,FRINGED MOUNTAIN SAGE,"fringed sage, silver sage, wormwood, pasture sage",Artemisia frigida,"leaves finely dissected, silvery-hairy; flowering stems erect.",6,8,"dry meadows and slopes at 3,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_ludoviciana_271x400.jpg,PRAIRIE SAGE,"Louisiana sagewort, Louisiana wormwood",Artemisia ludoviciana,leaves silver white to greenish.,7,10,"dry plains, roadcuts at 4,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/asclepias_speciosa_1_main_318x400.jpg,SHOWY MILKWEED,pink milkweed,Asclepias speciosa,hoods (whorl of floral parts between petals and stamens) broadest at the base and tapering upwards; leaves oblong to lance-ovate (lance-shaped to egg-shaped).,6,8,"ditch banks, roadsides and fields."
http://extension.colostate.edu/county/jeffco/natural/plant_images/calochortus_gunnisonii_400x288.jpg,GUNNISON MARIPOSA,"mariposa lily, sego lily",Calochortus gunnisonii,cup-shaped flower with 3 petals and 3 sepals; petals with dark hairy spot at their base.,3,6,"aspen groves, meadows on the Eastern Slope"
http://extension.colostate.edu/county/jeffco/natural/plant_images/campanula_rotundifolia_1_main_400x345.jpg,HAREBELL,scotch bluebell,Campanula rotundifolia,corolla lobed only about 1/3; stems over 2 dm tall; flowers several per stem.,6,9,"dry mountain slopes at lower to middle altitudes (7,500 to 11,500 feet)."
