flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/adenolinum_lewisii_1_378x400.jpg,WILD BLUE FLAX,blue flax,Adenolinum lewisii,stigma capitate (headed); plant produces many branches from the base; styles of same length on different plants.,5,8,"dry slopes, forest clearings, roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/agoseris_glauca_340x400.jpg,FALSE DANDELION,pale agoseris,Agoseris glauca,"outer phyllaries (bracts - small leaf-like structures - below a composite flower head) erect; flowers all ligulate (strap-shaped). Var. laciniata has a scape (flowering stem) less than 2 dm tall, pinnatifid (divided like a feather along a main axis) and a narrow head. Var. dasycephala is a tall coarse plant with large wooly heads.",6,9,dry meadows and open slopes.
http://extension.colostate.edu/county/jeffco/natural/plant_images/allium_geyeri_400x263.jpg,GEYER ONION,wild onion,Allium geyeri,leaves basal with 3 or more per scape (leafless flower stalk); umbel (umbrella-shaped flower cluster) erect.,6,8,moist meadows and forest openings.
http://extension.colostate.edu/county/jeffco/natural/plant_images/allium_textile_371x400.jpg,WILD ONION,"plains onion, early onion, textile onion",Allium textile,inflorescence (flower cluster) erect; leaves 2 per scape (leafless flower stalk).,3,5,dry slopes and hillsides.
http://extension.colostate.edu/county/jeffco/natural/plant_images/amerosedum_lanceolatum_400x267.jpg,YELLOW STONECROP,lanceleaf stonecrop,Amerosedum lanceolatum,"leaves succulent (fleshy), in basal (at the plant base) clusters, often deciduous (falling off, not persistent throughout the year) before anthesis (opening of the flower).",6,8,"rocky ground at 5,000 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_frigida_400x358.jpg,FRINGED MOUNTAIN SAGE,"fringed sage, silver sage, wormwood, pasture sage",Artemisia frigida,"leaves finely dissected, silvery-hairy; flowering stems erect.",6,8,"dry meadows and slopes at 3,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_ludoviciana_271x400.jpg,PRAIRIE SAGE,"Louisiana sagewort, Louisiana wormwood",Artemisia ludoviciana,leaves silver white to greenish.,7,10,"dry plains, roadcuts at 4,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/astragalus_agrestis_400x327.jpg,FIELD MILKVETCH,purple milk vetch,Astragalus agrestis,"blunt keel; flowers erect, clustered in ovoid heads; pubescence basifixed (hairs attached at the base).",3,5,grasslands on the plains and mesas.
http://extension.colostate.edu/county/jeffco/natural/plant_images/castilleja_integra_1_main_400x380.jpg,FOOTHILLS PAINTBRUSH,orange indian paintbrush,Castilleja integra,"calyx incised equally above and below; bracts (small leaf-like structures) broad and more conspicuous than calyx (sepals); leaves and stems tomentose (covered with wooly, multidirectional hairs); bracts orange.",6,8,grasslands of the foothills from Rocky Flats south; South Park.
http://extension.colostate.edu/county/jeffco/natural/plant_images/cerastium_strictum_1_main_316x400.jpg,MOUSE-EAR CHICKWEED,"field mouse-ear, field chickweed",Cerastium strictum,"floral stems with tufts of sterile shoots in leaf axils (angle where leaves join stems); bracts (small leaf-like structures) of the inflorescence (flower cluster) with scarious (dry, thin, papery) margins.",5,6,meadows and openings in pine forests.
