flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/adenolinum_lewisii_1_378x400.jpg,WILD BLUE FLAX,blue flax,Adenolinum lewisii,stigma capitate (headed); plant produces many branches from the base; styles of same length on different plants.,5,8,"dry slopes, forest clearings, roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/amerosedum_lanceolatum_400x267.jpg,YELLOW STONECROP,lanceleaf stonecrop,Amerosedum lanceolatum,"leaves succulent (fleshy), in basal (at the plant base) clusters, often deciduous (falling off, not persistent throughout the year) before anthesis (opening of the flower).",6,8,"rocky ground at 5,000 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/antennaria_parvifolia_400x271.jpg,DWARF  PUSSYTOES,"pussytoes, sun-loving catspaw",Antennaria parvifolia,"usually with leafy stolons; leaves in basal rosette, white-tomentose on both sides (densely covered with thick-wooly hairs with no distinct orientation); phyllaries (bracts - small leaf-like structures - surrounding composite head) white or sometimes pinkish tips.",5,7,open montane forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/antennaria_rosea_400x332.jpg,PINK PUSSYTOES,pussytoes,Antennaria rosea,mat-forming usually with leafy stolons (stem running along surface of the ground); leaves in a basal rosette are white-tomentose on both sides (densely covered with thick-wooly hairs with no distinct orientation); phyllaries (bracts - small leaf-like structures - surrounding a composite head) pink or white.,6,6,forested areas.
http://extension.colostate.edu/county/jeffco/natural/plant_images/artemisia_frigida_400x358.jpg,FRINGED MOUNTAIN SAGE,"fringed sage, silver sage, wormwood, pasture sage",Artemisia frigida,"leaves finely dissected, silvery-hairy; flowering stems erect.",6,8,"dry meadows and slopes at 3,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/bistorta_bistortoides_400x292.jpg,AMERICAN BISTORT,"bistort, western bistort, smartweed, knotweed, snakeweed",Bistorta bistortoides,white flowers in a dense cyclindric raceme; (elongated flower cluster with stalked flowers along a main axis); erect slender stem.,5,8,moist or wet meadows and swamps at high elevations.
http://extension.colostate.edu/county/jeffco/natural/plant_images/calochortus_gunnisonii_400x288.jpg,GUNNISON MARIPOSA,"mariposa lily, sego lily",Calochortus gunnisonii,cup-shaped flower with 3 petals and 3 sepals; petals with dark hairy spot at their base.,3,6,"aspen groves, meadows on the Eastern Slope"
http://extension.colostate.edu/county/jeffco/natural/plant_images/campanula_rotundifolia_1_main_400x345.jpg,HAREBELL,scotch bluebell,Campanula rotundifolia,corolla lobed only about 1/3; stems over 2 dm tall; flowers several per stem.,6,9,"dry mountain slopes at lower to middle altitudes (7,500 to 11,500 feet)."
http://extension.colostate.edu/county/jeffco/natural/plant_images/carduus_nutans_1_main_400x278.jpg,MUSK THISTLE,"nodding thistle, bristle thistle",Carduus nutans,heads with disk flowers only; pappus (extension of the ovary in sunflower family) barbellate (with short barbs); outer phyllaries (bracts - small leaf-like structures - that subtend a composite flower head) spreading-reflexed (bent backwards).,6,8,"neglected fields, overgrazed meadows and roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/castilleja_miniata_254x400.jpg,SCARLET PAINTBRUSH,red indian paintbrush,Castilleja miniata,red bracts (small leaf-like structures) deeply cleft.,5,9,"moist forests, meadows, aspen groves at 5,500 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/cerastium_strictum_1_main_316x400.jpg,MOUSE-EAR CHICKWEED,"field mouse-ear, field chickweed",Cerastium strictum,"floral stems with tufts of sterile shoots in leaf axils (angle where leaves join stems); bracts (small leaf-like structures) of the inflorescence (flower cluster) with scarious (dry, thin, papery) margins.",5,6,meadows and openings in pine forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/chamerion_danielsii_1_main_268x400.jpg,COMMON FIREWEED,fireweed,Chamerion danielsii,"raceme (flower cluster with stalked flowers along a main axis) not leafy; styles hairy at the base, exceeding the stamens.",6,9,"burned areas, roadsides, forest openings."
http://extension.colostate.edu/county/jeffco/natural/plant_images/corydalis_aurea_1_main_400x286.jpg,GOLDEN SMOKE,scrambled eggs,Corydalis aurea,"sepals 2, minute; petals separate (not united at any point in the corolla); flowers racemose (in racemes i.e stalked flowers attached along a main axis).",3,10,disturbed soil in roadbanks and ravines.
http://extension.colostate.edu/county/jeffco/natural/plant_images/erysimum_capitatum_376x400.jpg,ALPINE WALLFLOWER,little wallflower,Erysimum capitatum,"siliques (fruits) almost glabrous (hairless) and ascending, nearly parallel to the stem although pedicels (stalks) may spread widely.",3,8,gravelly slopes and hillsides and forest openings.
http://extension.colostate.edu/county/jeffco/natural/plant_images/frasera_speciosa_232x400.jpg,GREEN GENTIAN,"monument plant, elkweed",Frasera speciosa,"fleshy leaves in whorls; blooming plant tall, up to 6 ft.; flowers greenish-white.",6,8,pine forests and meadows.
http://extension.colostate.edu/county/jeffco/natural/plant_images/hackelia_floribunda_311x400.jpg,STICKSEED FORGET-ME-NOT,false forget-me-not,Hackelia floribunda,flower clusters arising from leaf axils (angle between leaves and stem).,6,8,"forest clearings, slopes, roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/heuchera_parvifolia_162x400.jpg,COMMON ALUMROOT,"small-leaved alumroot, little leaf alumroot",Heuchera parvifolia,stamens shorter than the sepals.,5,8,cliffs and rock outcrops.
http://extension.colostate.edu/county/jeffco/natural/plant_images/hydrophyllum_fendleri_400x330.jpg,FENDLER WATERLEAF,white waterleaf,Hydrophyllum fendleri,"leaves with sharply serrate (with forward-pointing teeth, like a saw) lobes.",5,8,streamside woodlands.
http://extension.colostate.edu/county/jeffco/natural/plant_images/ipomopsis_aggregata_400x225.jpg,FAIRY TRUMPET,"skyrocket, scarlet gilia (red form), white gilia",Ipomopsis aggregata,ovary with 3 locules (compartments); corolla (petals) salverform (with a long narrow tube opening into a wider cup i.e. trumpet-shaped).,3,5,gravelly open areas.
http://extension.colostate.edu/county/jeffco/natural/plant_images/iris_missouriensis_400x316.jpg,WILD IRIS,Missouri iris,Iris missouriensis,ovary inferior (petals and other floral parts attached at the top of the ovary).,5,7,"moist open areas, wet meadows, streamsides at 4,500 to 9,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/jamesia_americana_304x400.jpg,WAXFLOWER,Jamesia,Jamesia americana,"leaves crenate (with rounded teeth), hairy beneath.",3,5,"foothill canyons and on southern slopes at higher elevations (5,000 to 11,000 feet)."
http://extension.colostate.edu/county/jeffco/natural/plant_images/leucocrinum_montanum_1_main_400x289.jpg,SAND LILY,star lily,Leucocrinum montanum,leaves grasslike; tepals (undifferentiated petals and sepals) united into a tube.,2,3,grasslands
http://extension.colostate.edu/county/jeffco/natural/plant_images/lupinus_argenteus_195x400.jpg,SILVERY LUPINE,lupine,Lupinus argenteus,"tip of keel (lower petal in pea family) long and slender, erect or slanting forward; leaves are palmately compound (divided like a hand); leaflets often conduplicate (folded lengthwise).",3,5,"open forests, hillsides and slopes."
http://extension.colostate.edu/county/jeffco/natural/plant_images/maianthemum_amplexicaule_291x400.jpg,FALSE SOLOMON SEAL,"claspleaf solomon's plume, many-flowered false solomon seal",Maianthemum amplexicaule,leaves clasping and broadly oval; flowers numerous in a dense panicle (branched flower cluster with stalked flowers).,3,5,"streamsides, moist meadows and gulches."
http://extension.colostate.edu/county/jeffco/natural/plant_images/maianthemum_stellatum_1_main_285x400.jpg,WILD LILY-OF-THE-VALLEY,"star solomon's seal; star solomon's plume, few-flowered false solomon seal",Maianthemum stellatum,flowers in a raceme (stalked flowers along a main axis).,3,5,"shady, moist areas in the forested mountains."
http://extension.colostate.edu/county/jeffco/natural/plant_images/mentha_arvensis_170x400.jpg,FIELD MINT,wild mint,Mentha arvensis,flowers in leaf axils (angle formed between stem and leaf); leaves adjacent to flowers on stem have not been modified into bracts (small leaf-like structures).,6,10,"moist areas along ditches, streamsides, bogs."
http://extension.colostate.edu/county/jeffco/natural/plant_images/mertensia_ciliata_1_main_336x400.jpg,CHIMING BELLS,languid ladies,Mertensia ciliata,"leaves glabrous (hairless), sometimes with papillae (tiny wart-like structures) above.",6,8,"streamsides, near springs, ponds and other very moist areas."
http://extension.colostate.edu/county/jeffco/natural/plant_images/mertensia_lanceolata_400x303.jpg,FOOTHILL MERTENSIA,lanceleaf chiming bells,Mertensia lanceolata,leaves with less than 2 pairs of prominent veins in stem leaves; filaments attached near the top of the cylindrical corolla tube and projecting beyond the junction of the tube and expanded portion of the flower.,2,3,"dry, sunny fields and slopes."
http://extension.colostate.edu/county/jeffco/natural/plant_images/micranthes_rhomboidea_275x400.jpg,SNOWBALL SAXIFRAGE,diamondleaf saxifrage,Micranthes rhomboidea,"leaves rhomboid (shaped like an equilateral parallelogram), tapering to a short, broad petiole (leaf stalk).",3,8,open areas and rocky slopes that are seasonally moist in spring.
http://extension.colostate.edu/county/jeffco/natural/plant_images/oenothera_caespitosa_1_main_400x209.jpg,STEMLESS EVENING-PRIMROSE,white evening-primrose,Oenothera caespitosa,"plant stemless; leaves in a basal rosette, to 6 inches, with toothed or wavy margins.",5,8,"dry slopes, prairies, near anthills at 3,000 to 10,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/opuntia_polyacantha_1_main_400x251.jpg,PRICKLY-PEAR CACTUS,hunger cactus,Opuntia polyacantha,"pads very spiny, not wrinkled; fruits dry and withering soon after ripening.",3,6,"sunny, rocky slopes at 3,500 to 7,200 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/oreobatus_deliciosus_1_main_400x275.jpg,BOULDER RASPBERRY,Rocky Mountain raspberry,Oreobatus deliciosus,leaves 1 to 2.5 inches wide with rounded lobes.,6,8,"canyons of the Front Range, Arkansas Valley and San Luis Valley."
http://extension.colostate.edu/county/jeffco/natural/plant_images/oxytropis_lambertii_288x400.jpg,LAMBERT LOCO,crazy pea,Oxytropis lambertii,keel (lower boat-shaped petal in the pea family) tip is pointed; calyx with appressed (lying flat) hairs; some of foliage hairs dolabriform (2-armed or pick-like).,6,7,"grasslands of the plains, mountain parks and foothills at 4,500 to 10,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/pedicularis_groenlandica_1_main_278x400.jpg,ELEPHANT HEAD,"little red elephant, elephantella",Pedicularis groenlandica,flower resembles an elephant's head; flowers in an elongated spike (unstalked flowers along a main axis).,6,8,"Wet meadows, bogs"
http://extension.colostate.edu/county/jeffco/natural/plant_images/pediocactus_simpsonii_400x308.jpg,MOUNTAIN BALL CACTUS,"ball cactus, pincushion",Pediocactus simpsonii,mature plant shaped and sized like a small grapefruit; tubercles (nipple-like projecting bodies) which cover stem surface are not grooved on upper side.,3,5,"rocky, dry canyons and slopes at 4,800 to 9,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/pinus_ponderosa_1_main_293x400.jpg,PONDEROSA PINE,western yellow pine,Pinus ponderosa,"needles in packages (fascicles) of 3 or 2; female cones large, up to 6 inches long; male cones up to 2 inches long.",3,5,"exposed hillsides, mesas, and south-facing slopes."
http://extension.colostate.edu/county/jeffco/natural/plant_images/primula_angustifolia_400x398.jpg,ALPINE PRIMROSE,fairy primrose,Primula angustifolia,"showy flowers, close to the ground",6,8,"boulder fields, rock crevices, meadows, near snow banks."
http://extension.colostate.edu/county/jeffco/natural/plant_images/psychrophila_leptosepala_1_main_400x248.jpg,MARSH MARIGOLD,white marsh marigold,Psychrophila leptosepala,"erect leafless flower stalk, white flower with prominent yellow center.",6,8,"large patches in bogs, marshes, soggy meadows, along lakes and ponds."
http://extension.colostate.edu/county/jeffco/natural/plant_images/pterogonum_alatum_215x400.jpg,WINGED BUCKWHEAT,winged eriogonum,Pterogonum alatum,"basal leaves oblanceolate (lance-shaped, with the broadest part at the apex); flower cluster a panicle (repeatedly branched flower cluster with stalked flowers).",6,8,"open hillsides, mesas and mountain parks."
