flower_img_url,name,common_name,scientific_name,description,bloom_start,bloom_end,habitat
http://extension.colostate.edu/county/jeffco/natural/plant_images/adenolinum_lewisii_1_378x400.jpg,WILD BLUE FLAX,blue flax,Adenolinum lewisii,stigma capitate (headed); plant produces many branches from the base; styles of same length on different plants.,5,8,"dry slopes, forest clearings, roadsides."
http://extension.colostate.edu/county/jeffco/natural/plant_images/cerastium_strictum_1_main_316x400.jpg,MOUSE-EAR CHICKWEED,"field mouse-ear, field chickweed",Cerastium strictum,"floral stems with tufts of sterile shoots in leaf axils (angle where leaves join stems); bracts (small leaf-like structures) of the inflorescence (flower cluster) with scarious (dry, thin, papery) margins.",5,6,meadows and openings in pine forests.
http://extension.colostate.edu/county/jeffco/natural/plant_images/chamerion_danielsii_1_main_268x400.jpg,COMMON FIREWEED,fireweed,Chamerion danielsii,"raceme (flower cluster with stalked flowers along a main axis) not leafy; styles hairy at the base, exceeding the stamens.",6,9,"burned areas, roadsides, forest openings."
http://extension.colostate.edu/county/jeffco/natural/plant_images/collomia_linearis_194x400.jpg,TINY TRUMPET,"collomia, narrow-leaf mountain-trumpet, slenderleaf collomia",Collomia linearis,"leaves lanceolate (lance-shaped); flowers in a dense terminal cluster surrounded by enlarged, leaf-like bracts (small leaf-like structures).",5,8,"roadsides, grasslands, disturbed areas."
http://extension.colostate.edu/county/jeffco/natural/plant_images/distegia_involucrata_400x324.jpg,TWINBERRY,bush honeysuckle,Distegia involucrata,"flowers seated in conspicuous, leaflike cup of bracts (small leaf-like structures).",3,5,"along mountain streams and moist slopes at 6,000 to 10,000 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/eriogonum_umbellatum_1_main_301x400.jpg,SULPHUR FLOWER,sulfur buckwheat,Eriogonum umbellatum,"grows in broad, loose mats; perianth (petals and sepals) narrowed at the base to a stipe (stalk) and externally glabrous (smooth).",6,8,"forest openings, dry meadows, rocky slopes at 5,000 to 11,500 feet."
http://extension.colostate.edu/county/jeffco/natural/plant_images/galium_septentrionale_177x400.jpg,BEDSTRAW,northern bedstraw,Galium septentrionale,"leaves lanceolate (lance-shaped), blunt-tipped, 4 at a node (point on a stem where leaves or branches occur); inflorescence (flower cluster) pyramidal.",5,8,moist meadows and woodlands.
http://extension.colostate.edu/county/jeffco/natural/plant_images/geranium_richardsonii_400x257.jpg,RICHARDSON GERANIUM,white geranium,Geranium richardsonii,"petals white with purple veins, pilose (having long, soft hairs) on the lower half; plant erect with a single or a few stems.",5,10,"moist, shaded areas; aspen groves, spruce-fir forests."
http://extension.colostate.edu/county/jeffco/natural/plant_images/ipomopsis_aggregata_400x225.jpg,FAIRY TRUMPET,"skyrocket, scarlet gilia (red form), white gilia",Ipomopsis aggregata,ovary with 3 locules (compartments); corolla (petals) salverform (with a long narrow tube opening into a wider cup i.e. trumpet-shaped).,3,5,gravelly open areas.
http://extension.colostate.edu/county/jeffco/natural/plant_images/linaria_vulgaris_298x400.jpg,BUTTER AND EGGS,yellow toadflax,Linaria vulgaris,"leaves glabrous (smooth, hairless) and glaucous (contains white waxy covering).",6,10,open areas around former homesteads.
http://extension.colostate.edu/county/jeffco/natural/plant_images/lupinus_argenteus_195x400.jpg,SILVERY LUPINE,lupine,Lupinus argenteus,"tip of keel (lower petal in pea family) long and slender, erect or slanting forward; leaves are palmately compound (divided like a hand); leaflets often conduplicate (folded lengthwise).",3,5,"open forests, hillsides and slopes."
http://extension.colostate.edu/county/jeffco/natural/plant_images/maianthemum_stellatum_1_main_285x400.jpg,WILD LILY-OF-THE-VALLEY,"star solomon's seal; star solomon's plume, few-flowered false solomon seal",Maianthemum stellatum,flowers in a raceme (stalked flowers along a main axis).,3,5,"shady, moist areas in the forested mountains."
http://extension.colostate.edu/county/jeffco/natural/plant_images/potentilla_hippiana_400x285.jpg,SILVERY POTENTILLA,wooly cinquefoil,Potentilla hippiana,"leaves pinnate with toothed leaflets, silvery-pubescent, often bi-colored; flowers 0.5 inch diameter; stems tufted.",6,8,"dry hillsides, gravelly slopes, trailsides, forest edges."
http://extension.colostate.edu/county/jeffco/natural/plant_images/pulsatilla_ludoviciana_1_main_269x400.jpg,PASQUE FLOWER,Easter flower,Pulsatilla ludoviciana,tepals (undifferentiated petals and sepals) overlapping; upper stem leaves form a whorl below the flower; leaves and stems pubescent (hairy).,3,5,"open forests at 8,500 to 11,500 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/rosa_woodsii_1_main_400x316.jpg,WOODS ROSE,wild rose,Rosa woodsii,"leaflets 5 - 7; flowering stems with broad-based thorns, occasional bristles; sepals 2 mm wide at base.",6,8,"valleys, gulches, trailsides at 6,000 to 11,000 feet elevation."
http://extension.colostate.edu/county/jeffco/natural/plant_images/thalictrum_fendleri_289x400.jpg,FENDLER MEADOWRUE,white meadowrue,Thalictrum fendleri,flowers mostly unisexual (either male or female); anthers much longer than wide; upper and lower edges of fruits mostly convex.,3,6,"meadows, aspen groves from 5,000 to 9,500 feet elevation."
